"club","total_balls_recovered","total_tackles","total_tackles_won","total_tackles_lost","total_clearance_attempted","total_matches"
Total,10287,2967,1297,1670,3959,247
Porto,239,80,27,53,113,6
Sheriff,226,101,38,63,183,6
Paris,280,111,50,61,135,8
LOSC,313,91,49,42,124,8
Atalanta,280,65,31,34,100,6
Atlético,474,132,56,76,190,10
Dortmund,282,58,18,40,73,6
Real Madrid,514,166,76,90,188,13
Milan,271,74,34,40,118,6
Salzburg,369,116,44,72,152,8
Villarreal,462,131,54,77,274,12
Sporting CP,281,116,51,65,125,8
Benfica,390,144,73,71,207,10
Shakhtar Donetsk,209,41,14,27,82,6
Bayern,439,92,40,52,86,10
Beşiktaş,276,96,45,51,81,5
Inter,306,109,47,62,115,8
Man. City,448,103,38,65,112,12
Ajax,327,107,46,61,83,8
Barcelona,235,89,38,51,47,6
Young Boys,277,81,38,43,84,6
Man. United,317,85,41,44,131,8
Leipzig,260,89,41,48,92,6
Dynamo Kyiv,237,70,27,43,102,6
Wolfsburg,260,51,27,24,152,6
Juventus,349,92,40,52,114,7
Malmö,209,72,32,40,143,6
Sevilla,272,51,18,33,64,6
Liverpool,578,124,59,65,151,13
Club Brugge,262,67,28,39,111,6
Zenit,242,67,32,35,128,6
Chelsea,403,96,45,51,99,9
