"club","total_goals","total_right_foot_goals","total_left_foot_goals","total_header_goals","total_other_goals","total_penalties","total_inside_goals","total_outside_goals","total_matches"
Total,370,178,127,60,4,36,332,38,249
Porto,2,1,0,1,0,1,2,0,6
Sheriff,7,1,2,3,1,0,5,2,6
LOSC,8,5,3,0,0,2,7,1,8
Paris,15,7,7,1,0,2,13,2,8
Atalanta,12,4,7,1,0,0,10,2,6
Atlético,9,3,4,2,0,1,9,0,10
Dortmund,10,5,3,2,0,2,10,0,6
Real Madrid,28,17,7,4,0,3,22,6,13
Milan,5,3,1,1,0,0,5,0,5
Salzburg,10,4,6,0,0,3,9,1,8
Villarreal,20,8,9,3,0,2,20,0,12
Sporting CP,14,5,6,2,1,2,11,3,8
Benfica,13,8,2,3,0,1,13,0,10
Shakhtar Donetsk,2,2,0,0,0,0,2,0,5
Bayern,30,13,12,3,1,3,26,4,10
Beşiktaş,3,0,1,2,0,1,3,0,5
Inter,9,6,2,1,0,0,8,1,8
Man. City,28,14,9,5,0,2,26,2,12
Ajax,21,5,12,3,1,1,20,1,8
Barcelona,2,2,0,0,0,0,2,0,5
Young Boys,7,4,2,1,0,0,5,2,6
Man. United,12,9,2,1,0,0,9,3,7
Leipzig,15,9,2,4,0,2,14,1,6
Dynamo Kyiv,1,1,0,0,0,0,1,0,6
Wolfsburg,5,2,2,1,0,0,5,0,6
Juventus,11,2,6,3,0,2,11,0,7
Malmö,1,1,0,0,0,0,1,0,3
Sevilla,5,4,0,1,0,2,5,0,6
Liverpool,30,11,13,6,0,1,25,5,13
Club Brugge,5,4,1,0,0,0,5,0,6
Zenit,9,5,2,2,0,1,7,2,6
Chelsea,21,13,4,4,0,2,21,0,9
