"player_name","club","position","minutes_played","match_played","goals","assists","distance_covered","corner_taken","offsides","dribbles","tackles","t_won","t_lost","balls_recoverd","clearance_attempted","total_attempts","on_target","off_target","blocked","red","yellow","fouls_committed","fouls_suffered","cross_accuracy","cross_attempted","cross_complted","freekicks_taken","pass_accuracy","pass_attempted","pass_completed","right_foot","left_foot","headers","penalties","others","inside_area","outside_areas","saved","saved_penalties","conceded","cleansheets","punches made"
Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2,,,,,,,,,,,,,,,,,0,0,0,27,76,483,365,,,,,,,,61,1,14,5,4
Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0,3,4,83,11,3,8,29,0,27,8,10,9,1,0,13,24,31,19,6,0,83,451,377,3,1,0,0,0,4,0,,,,,
Benzema,Real Madrid,Forward,1106,12,15,1,121.5,2,9,18,1,1,0,6,10,45,23,13,9,1,0,2,4,20,10,2,4,83,523,433,11,1,3,3,0,13,2,,,,,
Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5,10,0,8,9,3,6,39,4,14,5,3,6,1,0,3,8,25,12,3,26,89,799,723,,,,,,,,,,,,
Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4,,,,19,6,13,76,32,9,4,5,0,4,0,17,16,0,2,0,17,87,643,563,,,,,,,,,,,,
Alaba,Real Madrid,Defender,1040,12,1,0,112.3,,,,18,12,6,49,28,5,1,1,3,1,0,9,1,11,17,2,21,92,657,606,0,1,0,0,0,0,1,,,,,
Carvajal,Real Madrid,Defender,959,11,0,1,112.8,0,1,9,12,6,6,50,30,5,2,3,0,3,0,15,6,34,23,8,11,87,576,503,,,,,,,,,,,,
Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6,,,,31,13,18,76,19,10,2,6,2,3,0,17,18,25,4,1,6,89,538,482,,,,,,,,,,,,
Kroos,Real Madrid,Midfielder,902,12,2,0,116.5,,,,11,5,6,37,4,12,7,1,4,0,0,7,18,20,34,7,44,91,814,752,1,1,0,0,0,0,2,,,,,
Mendy,Real Madrid,Defender,867,10,0,2,96.3,0,0,8,6,5,1,36,15,2,0,2,0,3,0,7,7,0,0,0,7,85,208,173,,,,,,,,9,0,7,5,2
Mendy,Real Madrid,Defender,867,10,0,2,96.3,0,0,8,6,5,1,36,15,2,0,2,0,3,0,7,7,25,12,3,4,91,413,376,,,,,,,,9,0,7,5,2
Valverde,Real Madrid,Midfielder,804,11,0,1,96.7,0,3,10,13,7,6,29,10,9,0,4,5,2,0,4,5,20,15,3,1,85,395,336,,,,,,,,,,,,
Nacho,Real Madrid,Defender,574,9,0,0,61.9,,,,10,4,6,27,14,1,0,1,0,2,0,7,7,16,6,1,5,91,304,283,,,,,,,,,,,,
Rodrygo,Real Madrid,Forward,505,11,5,2,65.7,1,1,20,2,1,1,14,3,23,10,7,6,1,0,5,11,38,13,5,3,77,209,183,2,2,1,0,0,5,0,,,,,
Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4,0,0,6,2,0,2,13,6,,,,,1,0,4,8,25,12,3,2,83,239,207,,,,,,,,,,,,
Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2,0,1,2,17,9,8,19,6,2,0,2,0,1,0,5,10,0,1,0,7,87,179,158,,,,,,,,,,,,
Asensio,Real Madrid,Forward,207,8,1,2,28.4,5,0,1,1,0,1,3,1,5,3,0,2,0,0,2,0,25,4,1,1,72,89,75,0,1,0,0,0,0,1,,,,,
Jović,Real Madrid,Forward,113,3,0,0,12.9,,,,0,0,0,1,0,4,1,2,1,1,0,1,3,0,0,0,0,90,40,36,,,,,,,,,,,,
Marcelo,Real Madrid,Defender,93,3,0,0,10.7,,,,0,0,0,4,3,2,0,1,1,0,0,1,0,33,3,1,1,85,63,55,,,,,,,,,,,,
E. Hazard,Real Madrid,Forward,84,3,0,0,10.8,,,,0,0,0,1,0,3,3,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,
Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7,,,,1,0,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8,,,,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallejo,Real Madrid,Defender,8,2,0,0,1.5,,,,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bale,Real Madrid,Forward,7,2,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanco,Real Madrid,Midfielder,6,1,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8,,,,,,,,,,,,,,,,,0,0,0,16,89,461,415,,,,,,,,15,0,14,4,3
Salah,Liverpool,Forward,1008,13,8,2,112.0,0,5,49,0,0,0,12,0,42,22,11,9,0,0,4,12,9,11,1,1,81,426,346,0,8,0,1,0,7,1,,,,,
Fabinho,Liverpool,Midfielder,849,13,1,0,105.5,,,,23,9,14,74,8,5,1,2,2,1,0,14,11,0,2,0,9,90,595,549,1,0,0,0,0,1,0,,,,,
Robertson,Liverpool,Defender,826,10,0,2,97.7,27,1,9,4,3,1,44,14,5,2,2,1,1,0,5,3,25,63,16,22,81,628,512,,,,,,,,,,,,
Mané,Liverpool,Midfielder,822,13,5,1,100.3,0,9,17,4,1,3,9,1,21,8,6,7,2,0,16,19,30,10,3,1,79,278,219,2,3,0,0,0,5,0,,,,,
Van Dijk,Liverpool,Defender,810,9,0,1,82.8,0,2,0,3,2,1,62,29,6,3,1,2,1,0,4,2,0,1,0,10,90,667,609,,,,,,,,,,,,
Alexander-Arnold,Liverpool,Defender,794,9,0,4,86.8,36,0,9,1,0,1,51,18,12,1,6,5,2,0,5,6,29,81,24,28,80,685,556,,,,,,,,,,,,
Konaté,Liverpool,Defender,720,8,2,0,78.5,,,,16,11,5,53,17,6,2,3,1,1,0,11,3,0,0,0,16,89,515,465,0,0,2,0,0,2,0,,,,,
Henderson,Liverpool,Midfielder,666,12,1,2,85.7,0,0,2,3,1,2,29,1,12,4,4,4,0,0,10,4,35,17,6,6,86,602,530,1,0,0,0,0,0,1,3,0,1,0,1
Matip,Liverpool,Defender,630,7,0,0,66.2,,,,5,1,4,34,15,5,2,2,1,1,0,6,1,0,0,0,14,94,498,467,,,,,,,,,,,,
Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9,,,,16,11,5,40,5,9,3,6,0,1,0,5,7,50,2,1,12,91,553,508,1,0,0,0,0,0,1,,,,,
Diogo Jota,Liverpool,Forward,578,11,1,1,73.9,0,4,19,7,2,5,13,1,16,7,4,5,2,0,11,6,0,1,0,0,80,234,189,0,0,1,0,0,1,0,,,,,
Keïta,Liverpool,Midfielder,487,10,1,2,61.5,0,0,6,8,2,6,21,7,14,2,8,4,0,0,15,7,0,4,0,5,87,354,313,1,0,0,0,0,0,1,,,,,
Luis Díaz,Liverpool,Forward,385,7,2,1,49.9,0,2,42,8,3,5,16,2,29,11,7,11,1,0,16,10,18,11,2,0,83,341,282,2,1,1,0,0,4,0,,,,,
Tsimikas,Liverpool,Defender,344,5,0,2,42.7,16,0,4,2,1,1,26,10,,,,,0,0,4,8,22,40,9,8,78,201,165,,,,,,,,,,,,
Firmino,Liverpool,Midfielder,323,7,5,0,43.0,,,,2,1,1,17,1,13,5,2,6,0,0,4,2,0,0,0,0,85,176,150,3,1,1,0,0,4,1,,,,,
Oxlade-Chamberlain,Liverpool,Midfielder,300,6,0,1,38.6,9,0,6,1,1,0,17,4,10,3,4,3,0,0,2,2,20,10,2,5,85,165,141,,,,,,,,,,,,
Gomez,Liverpool,Defender,245,7,0,0,30.4,,,,0,0,0,14,5,1,1,0,0,0,0,1,0,0,1,0,2,75,200,173,,,,,,,,,,,,
Minamino,Liverpool,Forward,215,4,0,0,29.7,,,,2,0,2,6,0,2,0,2,0,0,0,3,3,0,1,0,1,93,76,69,,,,,,,,,,,,
Milner,Liverpool,Midfielder,211,8,0,1,32.0,4,0,1,6,3,3,5,6,2,1,0,1,3,0,12,4,22,9,2,7,57,157,116,,,,,,,,,,,,
Origi,Liverpool,Forward,187,7,1,1,23.8,0,0,3,1,0,1,5,0,12,2,8,2,0,0,4,6,0,3,0,0,74,47,35,0,0,1,0,0,1,0,,,,,
Jones,Liverpool,Midfielder,185,4,0,2,27.1,0,1,0,0,0,0,6,1,7,4,1,2,0,0,3,5,0,1,0,3,86,132,118,,,,,,,,,,,,
